label	status	run_ids	returncode	started_at	finished_at	command
eastmoney__dividend_main 2006	success	1d4e68e4-d9ee-4f7f-95a1-6f3012a0942d	0	2026-06-02T18:03:19.042886+00:00	2026-06-02T18:03:29.904520+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2006
eastmoney__dividend_main 2007	success	3ad80c4e-df30-47e1-a723-bc8252c42b8d	0	2026-06-02T18:03:29.905292+00:00	2026-06-02T18:03:40.886775+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2007
eastmoney__dividend_main 2008	success	c365be8f-e04b-4f3c-9f56-69a48853daf8	0	2026-06-02T18:03:40.887422+00:00	2026-06-02T18:03:51.827527+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2008
eastmoney__dividend_main 2009	success	8a4b3348-9bcb-47bc-9d11-2d4b1352bfa4	0	2026-06-02T18:03:51.828143+00:00	2026-06-02T18:04:02.608588+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2009
eastmoney__dividend_main 2010	success	60195d2b-1779-4b44-be0e-751946c1168d	0	2026-06-02T18:04:02.609069+00:00	2026-06-02T18:04:13.535905+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2010
eastmoney__dividend_main 2011	success	bc900b15-0c9b-471c-b0b2-5ff44c1fce96	0	2026-06-02T18:04:13.536539+00:00	2026-06-02T18:04:24.490251+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2011
eastmoney__dividend_main 2012	success	b3ff1eca-f531-493f-8c84-c77f44708fc5	0	2026-06-02T18:04:24.490886+00:00	2026-06-02T18:04:35.231499+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2012
eastmoney__dividend_main 2013	success	578dc34f-2b24-440c-829c-ddd0e5b2ac59	0	2026-06-02T18:04:35.232105+00:00	2026-06-02T18:04:46.250519+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2013
eastmoney__dividend_main 2014	success	d7ee73b1-d02f-43f3-9902-7a4b40261b4f	0	2026-06-02T18:04:46.251139+00:00	2026-06-02T18:04:57.068812+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2014
eastmoney__dividend_main 2015	success	d60e38eb-e4ab-47aa-ab5d-2adcd3e96bd3	0	2026-06-02T18:04:57.069430+00:00	2026-06-02T18:05:08.014044+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2015
eastmoney__dividend_main 2016	success	8ea62546-dcc3-4262-95fb-0a35925a2de8	0	2026-06-02T18:05:08.014724+00:00	2026-06-02T18:05:19.162407+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2016
eastmoney__dividend_main 2017	success	dba98f4c-1392-497e-89b4-079e2a37dfce	0	2026-06-02T18:05:19.163053+00:00	2026-06-02T18:05:30.206091+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2017
eastmoney__dividend_main 2018	success	5247b8a5-f9a7-4643-b4ff-6011f8043921	0	2026-06-02T18:05:30.206811+00:00	2026-06-02T18:05:41.150879+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2018
eastmoney__dividend_main 2019	success	9767b608-de3f-4ce3-9f9b-7baf5b7aab9d	0	2026-06-02T18:05:41.151183+00:00	2026-06-02T18:05:52.089249+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2019
eastmoney__dividend_main 2020	success	d931560a-90d8-4019-8d46-12cbbf5719e4	0	2026-06-02T18:05:52.089539+00:00	2026-06-02T18:06:03.167180+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2020
eastmoney__dividend_main 2021	success	37ecb3b8-53aa-43e8-8811-b718cf87b7bc	0	2026-06-02T18:06:03.167507+00:00	2026-06-02T18:06:14.018191+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2021
eastmoney__dividend_main 2022	success	9c200dd2-0376-49b0-820a-8901f698e51f	0	2026-06-02T18:06:14.018499+00:00	2026-06-02T18:06:25.164767+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2022
eastmoney__dividend_main 2023	success	8830bb9e-c607-4166-863f-ac4b3ccb166b	0	2026-06-02T18:06:25.165056+00:00	2026-06-02T18:06:36.234656+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2023
eastmoney__dividend_main 2024	success	8f91ef91-1f66-4f53-9fd3-3fb2824951e2	0	2026-06-02T18:06:36.234968+00:00	2026-06-02T18:06:47.121479+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2024
eastmoney__dividend_main 2025	success	1a334324-d2da-4b3d-9721-8beff1380dd6	0	2026-06-02T18:06:47.122094+00:00	2026-06-02T18:06:58.043197+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2025
eastmoney__dividend_main 2026	success	9bf67273-0177-4b1d-a73f-7cad13c46ddc	0	2026-06-02T18:06:58.043506+00:00	2026-06-02T18:07:08.993187+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__dividend_main --partition 2026
eastmoney__equity_history 1990	success	ec4336a9-40e2-491b-affd-bcdb6737815c	0	2026-06-02T18:07:08.993529+00:00	2026-06-02T18:07:19.906827+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1990
eastmoney__equity_history 1991	success	9b436767-8737-4824-a854-48e170964268	0	2026-06-02T18:07:19.907124+00:00	2026-06-02T18:07:30.879881+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1991
eastmoney__equity_history 1992	success	ab765697-095c-4afd-90b7-286a3b8eb02b	0	2026-06-02T18:07:30.880255+00:00	2026-06-02T18:07:41.635398+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1992
eastmoney__equity_history 1993	success	92c4d08d-2706-48b3-9549-db67307b6daf	0	2026-06-02T18:07:41.635706+00:00	2026-06-02T18:07:52.567785+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1993
eastmoney__equity_history 1994	success	63d1d921-62fc-4200-8f87-8cd86c4d7ca6	0	2026-06-02T18:07:52.568088+00:00	2026-06-02T18:08:03.667833+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1994
eastmoney__equity_history 1995	success	6cacb3a8-8b14-48c0-9bb4-7e7b19b65d30	0	2026-06-02T18:08:03.668462+00:00	2026-06-02T18:08:14.698551+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1995
eastmoney__equity_history 1996	success	f08b90ee-eee4-4675-9ab7-002062f84dcd	0	2026-06-02T18:08:14.699150+00:00	2026-06-02T18:08:25.560661+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1996
eastmoney__equity_history 1997	success	aa3386cd-3baf-4048-a9b6-1f607b07338e	0	2026-06-02T18:08:25.561258+00:00	2026-06-02T18:08:36.518697+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1997
eastmoney__equity_history 1998	success	824c5c74-6b50-4116-93bb-c864e42887c0	0	2026-06-02T18:08:36.519002+00:00	2026-06-02T18:08:47.469483+00:00	uv run dg launch --target-path scheduler --assets key:clickhouse/raw/eastmoney__equity_history --partition 1998
